Country	Region	Happiness score	Log (GDP Per Capita)	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption
Belarus	Commonwealth of Independent States	5.5398998260498	9.7799453735352	0.9067474603653	66.104331970215	0.6391630768776	-0.164926543832	0.6357116699219
North Cyprus	Western Europe	5.5355000495911	10.405702590942	0.8203566074371	73.702224731445	0.7952935099602	0.0002271585254	0.6261156797409
Greece	Western Europe	5.5149998664856	10.132326126099	0.8143803477287	72.405258178711	0.5413451194763	-0.300907373428	0.859931409359
Hong Kong S.A.R. of China	East Asia	5.5103998184204	10.934671401978	0.845969080925	76.771705627441	0.7798337936401	0.134979903698	0.4206072092056
Croatia	Central and Eastern Europe	5.5047001838684	10.070875167847	0.8746237158775	70.214904785156	0.7148388028145	-0.128538325429	0.9164952635765
Libya	Middle East and North Africa	5.4888000488281	9.78981590271	0.8259429335594	62.299999237061	0.7731570005417	-0.08505448699	0.6687791347504
Mongolia	East Asia	5.4562001228333	9.4121866226196	0.9371424913406	62.304485321045	0.693351328373	0.0980938673019	0.8635112047195
Malaysia	Southeast Asia	5.3843002319336	10.262518882752	0.8165094256401	67.102157592773	0.8946268558502	0.1147267967463	0.8393023014069
Vietnam	Southeast Asia	5.3534998893738	8.8095455169678	0.8499871492386	67.952735900879	0.9395929574966	-0.094533331692	0.7964212298393
Indonesia	Southeast Asia	5.2856001853943	9.3697519302368	0.8083798885345	62.155849456787	0.8706144094467	0.5195865035057	0.8762964010239
Ivory Coast	Sub-Saharan Africa	5.2333002090454	8.2255611419678	0.6580486893654	49.503772735596	0.7279093265533	-0.043991155922	0.7907719612122
Benin	Sub-Saharan Africa	5.2160000801086	7.6743197441101	0.468671143055	54.312465667725	0.7351825833321	-0.003537212731	0.7405325770378
Maldives	South Asia	5.1975998878479	9.518632888794	0.9131609201431	70.599998474121	0.8539627790451	0.0380854979157	0.8242110610008
Congo (Brazzaville)	Sub-Saharan Africa	5.1943998336792	8.5369873046875	0.6402280926704	57.924480438232	0.7190585136414	-0.123674094677	0.7517790794373
Azerbaijan	Commonwealth of Independent States	5.1648001670837	9.6877269744873	0.8193082809448	65.508399963379	0.7868241071701	-0.240255281329	0.552537560463
Macedonia	Central and Eastern Europe	5.1598000526428	9.510591506958	0.8203923106194	67.504425048828	0.7388409376144	-0.019877450541	0.8974905014038
Ghana	Sub-Saharan Africa	5.1479997634888	8.3506450653076	0.7286010980606	57.203987121582	0.794796526432	0.0941708534956	0.8479647636414
Nepal	South Asia	5.1371998786926	7.9253573417664	0.7855124473572	63.779178619385	0.7975650429726	0.1541688293219	0.7380991578102
Turkey	Middle East and North Africa	5.1318001747131	10.129419326782	0.8263135552406	66.902816772461	0.6088304519653	-0.171046435833	0.7481973767281
China	East Asia	5.123899936676	9.6885681152344	0.7987605929375	69.289192199707	0.8985179066658	-0.181425750256	0.7539710998535
Turkmenistan	Commonwealth of Independent States	5.1191000938416	9.7480325698853	0.9589661955833	62.211708068848	0.8264570236206	0.1876715421677	0.8836918473244
Bulgaria	Central and Eastern Europe	5.1015000343323	9.8693189620972	0.9378403425217	66.803977966309	0.7451781630516	-0.143908441067	0.9355851411819
Morocco	Middle East and North Africa	5.0947999954224	8.9403133392334	0.5926284790039	65.896240234375	0.7720724344254	-0.240377247334	0.8157246112823
